,height,link,weight
404,6-2,/players/C/ConnCl00.htm,193lb
405,6-5,/players/C/CoopTh00.htm,228lb
406,6-2,/players/C/CronGe20.htm,229lb
407,6-1,/players/C/CrowLi20.htm,195lb
408,6-0,/players/D/DamoJo20.htm,228lb
409,6-2,/players/D/DaviJa22.htm,235lb
410,6-3,/players/D/DeexBo00.htm,248lb
411,6-1,/players/D/DittJo20.htm,236lb
412,5-11,/players/D/DrzeRo20.htm,185lb
413,5-11,/players/D/DubeEl00.htm,187lb
414,6-3,/players/D/DugaFr00.htm,205lb
415,6-1,/players/D/DuprCh20.htm,195lb
416,6-2,/players/E/EatoVi20.htm,200lb
417,6-1,/players/F/FeltDi00.htm,185lb
418,6-1,/players/G/GaviCh20.htm,250lb
419,6-1,/players/G/GlatFr20.htm,200lb
420,6-3,/players/G/GonzJo20.htm,247lb
421,6-5,/players/G/GossDo20.htm,260lb
422,6-4,/players/G/GregFo00.htm,249lb
423,6-1,/players/G/GremHa20.htm,201lb
424,6-1,/players/G/GuglRa00.htm,196lb
425,6-1,/players/H/HallJo20.htm,220lb
426,6-2,/players/H/HammMa00.htm,205lb
427,5-10,/players/H/HanuCh20.htm,185lb
428,6-0,/players/H/HardCa20.htm,185lb
429,6-0,/players/H/HardCh00.htm,183lb
430,6-1,/players/H/HarrJo23.htm,195lb
431,6-0,/players/H/HartLa21.htm,225lb
432,5-9,/players/H/HartPe00.htm,190lb
433,6-1,/players/H/HazeMa00.htm,220lb
434,6-2,/players/H/HercBi20.htm,246lb
435,6-1,/players/H/HermJo20.htm,180lb
436,6-2,/players/H/HerrGe00.htm,200lb
437,6-3,/players/H/HoisAl00.htm,200lb
438,6-4,/players/H/HolzGo20.htm,260lb
439,6-4,/players/H/HuntAr00.htm,245lb
440,6-0,/players/H/HuthJe20.htm,226lb
441,6-3,/players/J/JennJi20.htm,195lb
442,6-3,/players/J/JohnJa21.htm,198lb
443,6-3,/players/K/KaraEm00.htm,230lb
444,6-2,/players/K/KellEd21.htm,195lb
445,6-0,/players/K/KinaBi20.htm,189lb
446,5-9,/players/K/KingEm21.htm,195lb
447,6-2,/players/K/KrupJo00.htm,232lb
448,6-2,/players/L/LansBu00.htm,232lb
449,6-3,/players/L/LaraBo20.htm,195lb
450,5-6,/players/L/LarsJa00.htm,162lb
451,6-2,/players/L/LeggDa20.htm,198lb
452,6-3,/players/L/LeggEa20.htm,265lb
453,6-2,/players/L/LoudRo20.htm,227lb
454,6-2,/players/L/LoudTo20.htm,235lb
455,5-11,/players/L/LunaBo20.htm,187lb
456,6-1,/players/M/MadeGe20.htm,187lb
457,6-2,/players/M/MastNo20.htm,249lb
458,6-1,/players/M/McCaRi20.htm,185lb
459,6-4,/players/M/McCoDa00.htm,250lb
460,6-0,/players/M/McMuJo20.htm,245lb
461,6-2,/players/M/MeinDa00.htm,220lb
462,6-3,/players/M/MellJo20.htm,255lb
463,6-1,/players/M/MiddDa00.htm,194lb
464,6-4,/players/M/MillRo20.htm,200lb
465,6-1,/players/M/MoorLe00.htm,191lb
466,6-0,/players/M/MoorMc20.htm,185lb
467,6-3,/players/M/MorrJo04.htm,244lb
468,6-2,/players/M/MorrLa20.htm,226lb
469,6-4,/players/M/MorzFr20.htm,270lb
470,6-0,/players/M/MurlDi20.htm,247lb
471,6-0,/players/M/MyerBo20.htm,260lb
472,6-1,/players/N/NacrAn20.htm,190lb
473,6-4,/players/N/NapiWa20.htm,270lb
474,6-1,/players/N/NelsAn00.htm,180lb
475,6-3,/players/N/NickEd20.htm,240lb
476,6-1,/players/N/NixxDo20.htm,191lb
477,6-4,/players/N/NunnR.20.htm,275lb
478,6-2,/players/O/OMalJo20.htm,218lb
479,6-2,/players/O/OwenLu20.htm,254lb
480,6-2,/players/P/PalaLo20.htm,230lb
481,6-4,/players/P/PasqTo20.htm,250lb
482,6-1,/players/P/PateJa20.htm,234lb
483,5-11,/players/P/PattJi00.htm,183lb
484,6-4,/players/P/PlunSh00.htm,290lb
485,6-2,/players/P/PodoJi00.htm,200lb
486,6-2,/players/P/PreaGe20.htm,244lb
487,5-11,/players/P/PurnFr20.htm,230lb
488,6-3,/players/P/PyeaJo20.htm,204lb
489,6-4,/players/R/RoacJo00.htm,197lb
490,6-3,/players/R/RobeCl20.htm,260lb
491,6-1,/players/S/ShawGe00.htm,183lb
492,6-2,/players/S/ShepCh20.htm,215lb
493,5-10,/players/S/SmitBo21.htm,195lb
494,6-2,/players/S/SmitCh21.htm,205lb
495,6-2,/players/S/StocJo20.htm,210lb
496,5-10,/players/T/TaylCo21.htm,189lb
497,6-4,/players/T/TempJi20.htm,245lb
498,5-9,/players/T/TereTo00.htm,188lb
499,6-1,/players/T/ThurFu20.htm,247lb
500,6-3,/players/T/TracJo00.htm,225lb
501,6-0,/players/T/TravHe20.htm,218lb
502,6-1,/players/U/UnitJo00.htm,194lb
503,5-11,/players/W/WallRo00.htm,180lb
504,5-11,/players/W/WebbAl20.htm,180lb
505,5-5,/players/W/WeedTa20.htm,140lb
506,6-3,/players/W/WilkRo20.htm,224lb
507,6-2,/players/W/WillA.00.htm,210lb
508,6-4,/players/Y/YelvBi20.htm,220lb
509,6-3,/players/Y/YounJo20.htm,245lb
510,5-10,/players/Z/ZageBe20.htm,185lb
511,5-9,/players/Z/ZaruCa20.htm,210lb
512,6-5,/players/A/AmstJo20.htm,264lb
513,6-1,/players/A/AtkiBi00.htm,196lb
514,6-3,/players/B/BabbGe20.htm,216lb
515,6-2,/players/B/BaldLo00.htm,200lb
516,6-5,/players/B/BartJi20.htm,250lb
517,6-4,/players/B/BeloGe20.htm,250lb
518,6-2,/players/B/BerzWi00.htm,195lb
519,6-2,/players/B/BishDo00.htm,209lb
520,6-0,/players/B/BoboHu20.htm,220lb
521,6-4,/players/B/BockWa20.htm,265lb
522,5-11,/players/B/BookJo20.htm,182lb
523,6-2,/players/B/BraxHe00.htm,227lb
524,6-1,/players/B/BredJo20.htm,213lb
525,6-0,/players/B/BrewBi20.htm,190lb
526,6-0,/players/B/BullHa20.htm,230lb
527,6-0,/players/C/CappGi00.htm,190lb
528,6-5,/players/C/CaroDo00.htm,225lb
529,6-2,/players/C/CarpPr00.htm,190lb
530,5-10,/players/C/CassHo00.htm,183lb
531,6-0,/players/C/CencJo20.htm,215lb
532,6-2,/players/C/ChanDo20.htm,215lb
533,6-0,/players/C/CichCh20.htm,195lb
534,6-1,/players/C/ClarFr00.htm,215lb
535,6-4,/players/C/CockGe20.htm,247lb
536,6-3,/players/C/CrawEd20.htm,185lb
537,6-1,/players/C/CulpEd20.htm,255lb
538,6-1,/players/D/DAgoFr20.htm,245lb
539,6-5,/players/D/DaneBi20.htm,245lb
540,6-0,/players/D/DanjEr20.htm,230lb
541,6-1,/players/D/DaviAr20.htm,195lb
542,6-0,/players/D/DaviGl00.htm,180lb
543,6-0,/players/D/DaviTo20.htm,215lb
544,6-3,/players/D/DaviWi01.htm,243lb
545,6-3,/players/D/DentBo20.htm,244lb
546,6-2,/players/D/DickBo00.htm,220lb
547,6-2,/players/F/FallMi21.htm,240lb
548,6-3,/players/F/FinnGa20.htm,240lb
549,6-0,/players/F/FishRa20.htm,230lb
550,6-0,/players/F/FlynDo20.htm,205lb
551,6-0,/players/F/FulcBi20.htm,193lb
552,6-0,/players/G/GlenHo20.htm,235lb
553,6-0,/players/G/GoadPa20.htm,195lb
554,6-6,/players/G/GrahMi21.htm,235lb
555,6-3,/players/G/GundBo20.htm,220lb
556,6-0,/players/H/HallAl20.htm,198lb
557,6-1,/players/H/HarkLe20.htm,205lb
558,5-11,/players/H/HarnJi20.htm,180lb
559,6-1,/players/H/HarrJi22.htm,178lb
560,6-4,/players/H/HordRo20.htm,244lb
561,6-2,/players/H/HudoMi20.htm,245lb
562,6-1,/players/H/HuffSa00.htm,230lb
563,6-4,/players/I/IgleFl20.htm,197lb
