,height,link,weight
453,5-5,/players/p/pearsal02.shtml,140lb
454,6-2,/players/p/perrybo02.shtml,180lb
455,6-0,/players/r/retzeke01.shtml,185lb
456,6-3,/players/r/rodgean01.shtml,200lb
457,5-11,/players/r/romanjo01.shtml,205lb
458,5-8,/players/s/schaijo01.shtml,175lb
459,6-0,/players/s/smithbi04.shtml,190lb
460,5-11,/players/s/smithbo04.shtml,180lb
461,6-1,/players/s/snyderu01.shtml,190lb
462,6-5,/players/s/stever_01.shtml,219lb
463,6-2,/players/s/stockwe01.shtml,188lb
464,6-3,/players/t/thackmo01.shtml,205lb
465,6-1,/players/u/ueckebo01.shtml,190lb
466,6-1,/players/v/valdijo01.shtml,175lb
467,6-1,/players/w/wagnele01.shtml,195lb
468,6-0,/players/w/whitebi03.shtml,185lb
469,6-2,/players/w/willste01.shtml,200lb
470,6-1,/players/w/wilsodu01.shtml,185lb
471,6-3,/players/w/wilsoea01.shtml,216lb
472,6-2,/players/z/zimmeje01.shtml,185lb
473,6-0,/players/a/aloufe01.shtml,195lb
474,6-3,/players/a/alusige01.shtml,175lb
475,6-4,/players/a/anderbo01.shtml,210lb
476,6-1,/players/b/batteea01.shtml,205lb
477,6-3,/players/b/bautaed01.shtml,200lb
478,6-1,/players/b/bedelho01.shtml,185lb
479,6-0,/players/b/bertedi01.shtml,200lb
480,5-11,/players/b/bertore01.shtml,185lb
481,6-0,/players/b/blackro01.shtml,160lb
482,6-1,/players/b/blaylbo01.shtml,185lb
483,6-0,/players/b/boakch01.shtml,180lb
484,5-11,/players/b/botzbo01.shtml,170lb
485,5-10,/players/b/bowmaer01.shtml,160lb
486,6-1,/players/b/bowsfte01.shtml,190lb
487,5-5,/players/b/brickfr02.shtml,157lb
488,6-2,/players/b/brogler01.shtml,200lb
489,6-2,/players/b/browndi01.shtml,176lb
490,6-1,/players/b/brunege01.shtml,195lb
491,6-4,/players/b/burkma01.shtml,180lb
492,6-4,/players/c/cardwdo01.shtml,210lb
493,5-10,/players/c/chrisjo01.shtml,175lb
494,6-4,/players/c/clenddo01.shtml,209lb
495,5-9,/players/c/colemch01.shtml,165lb
496,6-3,/players/d/dailebi01.shtml,185lb
497,6-1,/players/d/deesch01.shtml,173lb
498,6-4,/players/d/demetdo01.shtml,190lb
499,5-9,/players/d/demetst01.shtml,185lb
500,6-2,/players/d/douglwh01.shtml,185lb
501,6-3,/players/d/drabomo01.shtml,190lb
502,6-1,/players/d/duffaji01.shtml,175lb
503,5-10,/players/d/dulibbo01.shtml,180lb
504,6-0,/players/d/dustabo01.shtml,172lb
505,6-3,/players/e/edelmjo01.shtml,185lb
506,6-0,/players/f/foxte01.shtml,175lb
507,6-2,/players/f/francea01.shtml,210lb
508,6-0,/players/f/funkfr01.shtml,175lb
509,6-4,/players/g/gibbojo01.shtml,200lb
510,6-1,/players/g/gibsobo01.shtml,189lb
511,6-3,/players/g/gilbebu01.shtml,195lb
512,6-6,/players/g/giledo01.shtml,220lb
513,6-1,/players/g/grantmu01.shtml,186lb
514,5-11,/players/h/haased01.shtml,178lb
515,5-10,/players/h/hamlike01.shtml,170lb
516,5-7,/players/h/hankija01.shtml,170lb
517,6-2,/players/h/haydele01.shtml,175lb
518,5-11,/players/h/humphbo01.shtml,165lb
519,5-10,/players/j/jacksal01.shtml,169lb
520,5-10,/players/j/jackslo01.shtml,168lb
521,6-4,/players/j/jayjo01.shtml,228lb
522,6-4,/players/j/jonessh02.shtml,205lb
523,6-5,/players/k/kaisedo01.shtml,195lb
524,6-2,/players/k/kindaje01.shtml,175lb
525,6-0,/players/k/kobacni01.shtml,187lb
526,5-9,/players/k/kolstha01.shtml,190lb
527,6-2,/players/k/koufasa01.shtml,210lb
528,6-2,/players/k/kralija01.shtml,180lb
529,6-3,/players/k/kubekto01.shtml,190lb
530,6-4,/players/l/luebkdi01.shtml,200lb
531,5-10,/players/m/maesthe01.shtml,170lb
532,6-5,/players/m/malleje01.shtml,208lb
533,6-3,/players/m/massago01.shtml,210lb
534,6-1,/players/m/mcbrike01.shtml,190lb
535,6-3,/players/m/mcdanli01.shtml,195lb
